,time,x,y,z,roll,pitch,yaw
87,163645082.406854,-25911.772559999998,-93170.86,0.14794000000000002,0,0.057960000000000005,1.97711
88,163645082.507854,-25912.39762,-93169.4138,0.05287000000000001,0,0.06163,1.9801900000000001
89,163645082.607854,-25913.03146,-93167.96052000001,-0.04451,0,0.06026,1.98358
90,163645082.707854,-25913.67397,-93166.50011000001,-0.1366,0,0.05554,1.9865400000000002
91,163645082.807854,-25914.32428,-93165.03221,-0.22426999999999997,0,0.05475,1.98878
92,163645082.906854,-25914.981490000002,-93163.55644,-0.31614000000000003,0,0.058679999999999996,1.99053
93,163645083.006853,-25915.645269999997,-93162.07265,-0.41355,0,0.059989999999999995,1.9922
94,163645083.105853,-25916.315459999998,-93160.58077,-0.50926,0,0.05685,1.99357
95,163645083.206853,-25916.991280000002,-93159.08045,-0.60022,0,0.05439,1.99432
96,163645083.305853,-25917.67199,-93157.57152,-0.69115,0,0.05579,1.9948
97,163645083.406853,-25918.35692,-93156.05579,-0.78687,0,0.05882999999999999,1.9956599999999998
98,163645083.505853,-25919.04507,-93154.5379,-0.88681,0,0.06047999999999999,1.9971400000000001
99,163645083.606853,-25919.7358,-93153.02072999999,-0.98846,0,0.06131,1.9987400000000002
100,163645083.706853,-25920.4289,-93151.50465,-1.09202,0,0.06262000000000001,2.00033
101,163645083.806853,-25921.124669999997,-93149.98978999999,-1.19666,0,0.06237,2.00223
102,163645083.906853,-25921.82325,-93148.47623,-1.29902,0,0.060410000000000005,2.00391
103,163645084.006852,-25922.52385,-93146.96361,-1.39842,0,0.05901,2.00501
104,163645084.105852,-25923.2259,-93145.45165,-1.49614,0,0.05823,2.00588
105,163645084.205852,-25923.92913,-93143.94023,-1.59313,0,0.058179999999999996,2.0066
106,163645084.305852,-25924.633530000003,-93142.42937,-1.6909900000000002,0,0.059120000000000006,2.00749
107,163645084.406852,-25925.33958,-93140.91928,-1.7909400000000002,0,0.06055,2.00874
108,163645084.506852,-25926.04763,-93139.41012999999,-1.8933099999999998,0,0.06192,2.01008
